ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
North Central London ICB - 93C ,E83025,Pennine Drive Practice,5.0391,62.7907,58.7097,2.1435,3.9222,0.8322,3.2909,59.3407,68.6567,73.913,0.517,0.622,28.522,8.3869,12.2431,72.2772,60.3381,0.7187,1.0717,11.6231,0.5281,80.799,85,71.4286,82.6531,12.3959,1.5004,7533
North Central London ICB - 93C ,E83026,Supreme Medical Centre,3.1057,63.1944,62.3656,3.2823,4.0545,0.7157,4.2942,56.1644,67.5,93.75,0.3455,1.391,15.907,8.409,11.9447,84.7458,74.0437,0.2715,1.0365,8.4936,1.7835,76.6067,80.8511,78.5714,85.7143,8.4567,1.234,4113
North Central London ICB - 93C ,E83027,The Practice at 188,2.8893,50.5682,47.3282,2.1737,2.3644,0.7312,2.965,49.8592,60.6061,82.3529,2.0635,2.8,24.789,6.3184,10.9586,73.2733,54.1393,0.561,1.9433,6.9168,1.1171,70.8939,81.1765,77.451,86.2745,12.8786,1.4625,9803
North Central London ICB - 93C ,E83028,Parkview Surgery,5.1041,56.129,60.5263,1.9462,3.2903,1.5032,2.4525,63.6,72.381,68.6275,0.1266,2.77,28.523,9.9694,11.8987,69.2308,61.1276,0.4905,0.981,15.5144,1.1501,85.4499,79.5276,81.5217,90.2174,14.9971,1.0601,6028
North Central London ICB - 93C ,E83030,Penshurst Gardens Surgery,4.9252,65.3266,62.7737,2.8995,4.4548,0.6459,4.1775,51.6807,65.1786,78.8732,1.1131,1.032,20.32,7.9749,14.7176,84.3206,65.6888,0.5497,0.8795,9.5115,2.1589,81.8404,78.4173,83.7209,90.6977,8.7679,1.2917,6583
North Central London ICB - 93C ,E83031,The Village Surgery,4.8978,70.1863,66.6667,2.4984,3.3326,1.3553,4.5885,71.2389,75.9615,83.7838,0.5389,1.291,18.02,6.1187,12.8021,82.2581,66.2207,0.7022,0.9144,12.5807,1.5478,87.3201,90.9091,78.8462,92.3077,11.517,1.6003,5514
North Central London ICB - 93C ,E83032,Oak Lodge Medical Centre,4.3784,57.9832,57.2368,1.9881,2.4319,1.0792,2.4595,51.2931,66.6667,58.6022,0.4999,1.074,26.782,8.1449,12.6214,84.2262,70.6257,0.5851,1.3576,15.2998,0.8259,80.99,84.3137,77.4194,87.5576,15.6469,1.3348,16487
North Central London ICB - 93C ,E83034,Colney Hatch Lane Surgery,5.7913,67.5,55.0459,2.5284,5.1958,1.951,3.7627,66.2857,74.7573,71.875,0.4181,2.536,22.505,8.7376,13.259,68.8,50.0924,1.3936,1.5529,15.6612,0.6276,85.0877,83.0189,63.9344,80.3279,15.1198,1.513,5165
North Central London ICB - 93C ,E83035,Wentworth Medical Practice.,4.5697,67.5439,72.434,3.1812,4.3751,1.1346,3.9194,64.4189,74.9226,86.1842,1.2323,1.488,14.749,8.7289,13.3489,81.3885,70.9315,0.4506,1.1237,14.0898,0.9132,85.9498,84.4394,71.7213,91.8033,9.6483,1.4386,16549
North Central London ICB - 93C ,E83038,Jai Medical Centre,4.3554,60.9091,63.1902,2.7267,4.7798,1.2484,3.4604,54.27,70.8333,81.5217,1.2374,1.316,24.895,9.4122,14.4875,83.0904,73.4694,0.7884,1.1717,15.3195,2.0062,85.7743,84.9802,89.2086,93.5252,15.1503,1.7849,10066
North Central London ICB - 93C ,E83039,Ravenscroft Medical Centre,3.0752,64.2857,50.6494,2.2058,2.3918,0.7582,3.2225,52.1912,62.8571,92.3077,0.4825,1.477,22.617,5.4399,9.7019,86.2069,70.4698,0.3274,1.1029,8.5899,0.9434,81.8477,83.7209,80.8511,85.1064,14.0559,1.3441,4358
North Central London ICB - 93C ,E83041,Wakemans Hill Surgery,4.0054,53,58.0645,1.7997,4.5279,1.1222,2.6043,64.5833,75.4386,81.3559,0.5293,1.235,24.36,8.5649,13.466,81.579,62.6437,0.5717,1.0163,12.9148,1.4873,80.2432,89.1304,85.2459,88.5246,17.2123,1.0586,3769
North Central London ICB - 93C ,E83044,Addington Medical Centre,4.1352,69.2308,67.4528,2.3656,3.4796,1.5054,4.4547,67.9144,71.9577,89.0244,0.6247,1.062,17.666,6.9501,12.3502,71.4789,55.8568,0.6964,1.4849,9.9527,0.64,87.2373,86.3636,62,85,12.1327,1.4951,10314
North Central London ICB - 93C ,E83045,Friern Barnet Medical Centre,5.1614,63.5628,77.2021,2.3744,3.7682,1.284,3.475,66.8435,76.9663,84.6939,0.5911,1.247,20.216,8.8957,12.6363,80.4688,63.8211,0.8458,1.2025,14.7739,0.5803,83.9815,86.0577,90.625,92.1875,12.4367,1.4878,9117
North Central London ICB - 93C ,E83046,Mulberry Medical Practice,4.1667,56.9444,57.485,1.9495,3.1184,0.9988,2.9483,50.1567,69.8718,71.4286,0.361,1.304,24.687,9.0869,13.2972,85.4749,77.4298,0.3008,1.0951,15.5622,0.6589,81.5898,85.4546,84.6847,94.5946,14.0273,1.3357,8095
North Central London ICB - 93C ,E83049,Langstone Way Surgery,4.1862,64.7399,61.0687,2.4115,4.3353,0.8168,3.5135,67.0623,75.6303,85.3933,0.6353,1.258,16.26,6.9287,11.163,75.7895,56.1848,0.4278,1.0113,8.7725,1.8946,71.7939,77.7778,60,88.75,11.975,1.0891,7207
North Central London ICB - 93C ,E83050,East Finchley Medical Centre,4.1115,73.3668,70.8075,1.4812,1.9062,0.6805,3.336,68.2927,77.6316,93.4783,0.2936,0.489,13.516,4.2007,9.154,74.3017,58.7771,0.2936,0.7606,5.5881,0.3693,73.5532,81.8182,71.1111,86.6667,11.7976,1.3344,6443
North Central London ICB - 93C ,E83053,Lane End Medical Group,5.0298,64.3045,75.8197,3.1273,5.0608,0.8535,3.8102,56.6337,64.467,90.2857,0.4848,0.952,21.296,8.0575,11.6422,78.0886,73.3542,0.8877,1.0038,12.3436,3.3698,84.0541,89.4569,59.0361,85.5422,10.2278,1.5227,13835
North Central London ICB - 93C ,E83600,Adler Js-The Surgery,2.5641,59.0476,75.7576,1.5833,3.5116,0.1451,2.441,55.0239,64.4068,89.2655,0.6597,0.77,23.177,5.6069,6.6763,84.2593,70.603,0.4618,0.6201,7.9746,1.5924,93.0921,86.5169,86.6667,95.5556,3.4079,1.0028,4793
