ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
Sussex ICB - 70F ,H82050,Ifield Medical Practice,6.37,66.4151,60.5405,3.8571,5.9286,2.0156,3.5273,63.5171,70.9677,86.7188,0.3481,1.762,21.183,8.5624,13.1104,76,66.335,0.7146,0.9803,26.2262,2.2707,81.9094,85.8209,81.0606,87.8788,17.5351,1.4017,10399
Sussex ICB - 70F ,H82051,Lavant Road Surgery,7.5476,77.8022,81.7881,3.2453,2.7128,1.0077,4.4434,74.0525,76.8559,91.579,0.8569,1.805,15.893,5.5771,14.3458,83.2392,76.5074,0.5554,1.1505,8.6446,0.7016,81.7808,83.3333,82.6923,89.4231,9.2671,2.3486,12495
Sussex ICB - 70F ,H82052,Pound Hill Medical Group,6.349,77.6316,67.9144,3.0788,6.3897,1.1016,4.1572,72.5458,75.1634,87.7778,0.4928,0.625,10.763,7.8245,13.5908,86.8313,74.9193,0.5102,0.6552,9.9118,0.8676,85.6755,84.6154,77.665,93.9086,9.7679,1.7626,15770
Sussex ICB - 70F ,H82053,Furnace Green Surgery,6.7918,76.7347,72.327,3.1731,7.2541,2.2414,4.8879,67.0543,79.3388,91.4286,0.7291,1.176,17.434,9.2041,16.1761,92.4731,81.3928,0.9182,0.8237,14.6075,1.0083,90.8759,87.7934,94.8454,95.8763,10.6264,2.3629,7796
Sussex ICB - 70F ,H82055,Billingshurst Surgery,7.1788,77.5424,71.3864,3.0255,4.4013,1.4984,4.7319,73.7226,76.6187,93.8931,0.846,1.193,11.105,6.5771,16.3178,79.9277,59.9536,0.5664,0.803,14.2612,1.6884,80.0557,79.2857,76.5625,89.0625,12.5917,2.0075,12621
Sussex ICB - 70F ,H82056,Newtons Practice,6.3801,73.4247,69.084,2.8755,3.7337,0.9025,4.8975,68.9579,75.1073,95.4546,1.5112,1.346,7.822,6.683,14.0628,81.2395,68.7898,0.3498,0.9865,11.1656,2.6536,87.9658,77.6316,80,86.6667,9.0986,2.1899,12312
Sussex ICB - 70F ,H82057,Mid Sussex Health Care,7.1728,78.1032,73.5812,3.1782,5.9346,1.2192,4.6486,78.3694,78.2022,88.5714,0.6667,0.946,8.327,5.6887,15.882,69.5607,63.4814,0.306,0.7215,7.9244,0.4929,87.5246,83.4197,72.0497,87.5776,7.3352,1.9088,18675
Sussex ICB - 70F ,H82058,Maywood Health Care Centre,7.4347,72.0508,64.3038,3.4149,5.0041,2.3904,4.4785,67.8766,71.7391,91.5493,1.5507,1.542,23.228,8.4043,16.6993,81.1966,66.2429,1.2148,1.366,17.5281,0.7945,86.1897,81.0268,72.9358,88.0734,18.14,2.3736,19041
Sussex ICB - 70F ,H82059,Willow Green Surgery,9.2082,80.6324,74.9216,5.2812,6.0472,2.509,6.9831,75.3676,76.5487,96.4286,1.351,0.883,14.016,9.4639,23.6863,83.0823,71.1486,0.5615,0.9475,12.7105,3.3468,90.2127,79.5276,84.5238,93.4524,9.4071,3.0529,13964
Sussex ICB - 70F ,H82060,Henfield Medical Centre,8.7625,77.6498,74.1259,4.011,7.45,2.3201,6.4294,76.6129,77.13,88.8889,1.6516,1.102,11.933,7.7652,20.0157,79.3651,71.6814,0.6882,0.7275,13.5142,2.1612,86.6897,80.0797,80.3279,91.8033,9.9634,2.4676,10508
